"id","text","user","RT","retweetCount","favoriteCount","latitude","longitude","time","client"
"712325016046608388","Is there no concept of ""namespace"" in Julia? also, I saw some lines w/ semicolons, some w/o - ?! @kylebarbary #PyAstro16","adrianprw",FALSE,0,1,NA,NA,"2016-03-22 17:08:12","Twitter for iPhone"
"712725584833593346","RT @jakevdp: linear regression in a few lines of NumPy, via @exoplaneteer #PyAstro16 https://t.co/BaCSmE5ALu","__gja__",TRUE,9,0,NA,NA,"2016-03-23 19:39:55","Twitter Web Client"
"715173773096255488","RT @ehsteve: For real this time...SunPy, the solar data analysis package @PyAstro16 https://t.co/WeuXMVljCo","astronomilo",TRUE,4,0,NA,NA,"2016-03-30 13:48:09","Twitter for iPhone"
"713043622673780736","I am sitting infront of the spirnt board working on the start of a APE describing the timeseries class, if you want to join me :) #pyastro16","StuartMumford",FALSE,0,0,NA,NA,"2016-03-24 16:43:42","Corebird"
"713396194953682944","Last day of #pyastro16! Starting with #sprints summaries. Livestream is up!","abigailStev",FALSE,0,0,NA,NA,"2016-03-25 16:04:41","Twitter Web Client"
"711957120300679168",".@AstroBrigi at #PyAstro16 points out &gt;160 contributors to @Astropy - here's the growth-over-time to end of 2015 https://t.co/5DtmlcanQk","eteq",FALSE,2,3,NA,NA,"2016-03-21 16:46:19","Twitter Web Client"
"713727574623432704","RT @abigailStev: We as referees can be very vocal about open-source software, ensuring correct citation for software. @kellecruz @astrofrog…","ethanwhite",TRUE,3,0,NA,NA,"2016-03-26 14:01:28","Twitter for iPhone"
"714339558947692544","RT @eteq: A bit late, but anyone interested in my #PyAstro16 tutorial on Python packaging can check out https://t.co/SISwZpNRHk for the pre…","owlice",TRUE,6,0,NA,NA,"2016-03-28 06:33:17","Twitter Web Client"
"712324997331570688","Until we can call Julia or Julia libraries from Python, I’m not feeling enthusiastic after @kylebarbary’s talk #PyAstro16","eblur27",FALSE,0,0,NA,NA,"2016-03-22 17:08:08","TweetDeck"
"712725469775413248","RT @IBJIYONGI: .@astrofrog showing us more data set visualization using earthquake as an example #PyAstro16 https://t.co/0wo4Id13yM","dorothyk98",TRUE,5,0,NA,NA,"2016-03-23 19:39:28","Twitter Web Client"
"715168040384667649","RT @ehsteve: For real this time...SunPy, the solar data analysis package @PyAstro16 https://t.co/WeuXMVljCo","Open_Astronomy",TRUE,4,0,NA,NA,"2016-03-30 13:25:22","TweetDeck"
"713042885654880256","RT @niais: Relevant to our #greatdebate yesterday at #PyAstro16  https://t.co/mjFTbjfMHs","abigailStev",TRUE,1,0,NA,NA,"2016-03-24 16:40:46","Twitter Web Client"
"713396130969698304","RT @abigailStev: In Bayesian notation: @exoplaneteer #pyastro16 https://t.co/wTb286cDCQ","glouppe",TRUE,8,0,NA,NA,"2016-03-25 16:04:26","Twitter Web Client"
"711957019645743107",".@astropy affiliate: specialized functionality. To become one, adhere to astropy coding, documentation, packaging standards. #pyastro16","abigailStev",FALSE,0,0,NA,NA,"2016-03-21 16:45:55","Twitter Web Client"
"713726896131977217","RT @abigailStev: We as referees can be very vocal about open-source software, ensuring correct citation for software. @kellecruz @astrofrog…","rmflight",TRUE,3,0,NA,NA,"2016-03-26 13:58:47","TweetCaster for Android"
"714333835832328192","A bit late, but anyone interested in my #PyAstro16 tutorial on Python packaging can check out https://t.co/SISwZpNRHk for the presentation","eteq",FALSE,6,7,NA,NA,"2016-03-28 06:10:32","Twitter Web Client"
"712324829295153152","RT @keflavich: #pyastro16 the googledoc with links to the talk: https://t.co/TEgeenoJ4w","IBJIYONGI",TRUE,2,0,NA,NA,"2016-03-22 17:07:28","Twitter for iPhone"
"712724977921863680","RT @IBJIYONGI: .@astrofrog showing us more data set visualization using earthquake as an example #PyAstro16 https://t.co/0wo4Id13yM","DrewLeonard42",TRUE,5,0,NA,NA,"2016-03-23 19:37:31","Twitter for Android"
"715168040380416000","RT @ehsteve: For real this time...SunPy, the solar data analysis package @PyAstro16 https://t.co/WeuXMVljCo","SunPyProject",TRUE,4,0,NA,NA,"2016-03-30 13:25:22","TweetDeck"
"713042559149301761","RT @jradavenport: #PyAstro16 I'm trying to make a complete list of Python-based spectra tools: https://t.co/3qBjCMR5se
Let me know what I'm…","PeterYoachim",TRUE,7,0,NA,NA,"2016-03-24 16:39:28","Twitter Web Client"
"713394520864370688","The #pyastro16 day 5 stream will be here in a few minutes: https://t.co/wGKFh4fIKh","exoplaneteer",FALSE,0,0,NA,NA,"2016-03-25 15:58:02","Twitter Web Client"
"711957013031362560","Have a feature you'd like to see in astropy? Check out https://t.co/cJnAQr0fEh to vote and suggest  #PyAstro16","OmegaSpaces",FALSE,1,1,NA,NA,"2016-03-21 16:45:54","Twitter for iPhone"
"713725577874829313","RT @jakevdp: At the depth of LSST, *every pixel* will have a galaxy in it, across the entire southern sky #PyAstro16","balbinotdd",TRUE,11,0,NA,NA,"2016-03-26 13:53:32","Twitter Web Client"
"714300534182834177","So powering through the jetlag from #PyAstro16 has not worked. So middle of the night Hellblazer seems to make sense","SamuelMBennett",FALSE,0,0,NA,NA,"2016-03-28 03:58:13","Twitter for Android"
"712324808134893570","RT @brettmor: My #astroplan #PyAstro16 sprint pitch is available and forkable here: https://t.co/9SdYuyL9dY Check it out!","IBJIYONGI",TRUE,2,0,NA,NA,"2016-03-22 17:07:23","Twitter for iPhone"
"712724516212879360","Enjoying these comprehensive lightning talks #PyAstro16. But they are so polished: where are the impromptu stand-up ""I have an idea""?","astrokiwi",FALSE,0,1,NA,NA,"2016-03-23 19:35:41","TweetDeck"
"715168040346845184","RT @ehsteve: For real this time...SunPy, the solar data analysis package @PyAstro16 https://t.co/WeuXMVljCo","DVDGC13",TRUE,4,0,NA,NA,"2016-03-30 13:25:22","TweetDeck"
"713039461349728257","RT @jakevdp: Great set of coding sprints today at #PyAstro16! https://t.co/ad5HxGIDg9","Pybonacci",TRUE,1,0,NA,NA,"2016-03-24 16:27:09","Twitter for Android"
"713390393400799233","RT @jakevdp: ""Here's the probabilistic model that describes all of science"" - @exoplaneteer  #PyAstro16 https://t.co/N6IHumaSRU","deanwampler",TRUE,13,0,NA,NA,"2016-03-25 15:41:38","Tweetbot for Mac"
"711956978017251328","RT @niais: Astropy user request site: https://t.co/YJ6UakwHPQ Dream big, y'all. #PyAstro16","stephtdouglas",TRUE,3,0,NA,NA,"2016-03-21 16:45:45","Twitter for Android"
"713720167105241089","RT @abigailStev: '-f' flag for py.test requires xdist, used for checking if files have change and if so, re-runs tests. -@eteq #pyastro16 #…","romaintouze",TRUE,2,0,NA,NA,"2016-03-26 13:32:02","Twitter for Android"
"714300225872003072","RT @exoplaneteer: The #pyastro16 talk recordings are now available: https://t.co/yEWkRTW2IA","shareastronomy",TRUE,14,0,NA,NA,"2016-03-28 03:56:59","Twitter for iPhone"
"712324474121510913","RT @abigailStev: When rewriting code, typing is not the hard part -- it's figuring out what the code is supposed to do. -@kylebarbary #pyas…","stephtdouglas",TRUE,1,0,NA,NA,"2016-03-22 17:06:03","Twitter Web Client"
"712724436181340161","RT @IBJIYONGI: .@astrofrog showing us more data set visualization using earthquake as an example #PyAstro16 https://t.co/0wo4Id13yM","eteq",TRUE,5,0,NA,NA,"2016-03-23 19:35:22","TweetDeck"
"715166901396226049","For real this time...SunPy, the solar data analysis package @PyAstro16 https://t.co/WeuXMVljCo","ehsteve",FALSE,4,3,NA,NA,"2016-03-30 13:20:51","Twitter Web Client"
"713038416439476225","Great set of coding sprints today at #PyAstro16! https://t.co/ad5HxGIDg9","jakevdp",FALSE,1,4,NA,NA,"2016-03-24 16:23:00","Twitter for iPhone"
"713390017981198336","RT @astronomatty: Monte Carlo sims #PyAstro16 https://t.co/a9FGJFD7Et","kellecruz",TRUE,1,0,NA,NA,"2016-03-25 15:40:09","Twitter for iPhone"
"711956942990643201","#PyAstro16 One @astropy-affiliated package for specialized functionality is #astroplan which I’ll present on Fri. https://t.co/6e1ejfEofG","brettmor",FALSE,0,2,NA,NA,"2016-03-21 16:45:37","TweetDeck"
"713717521438912512","RT @jakevdp: Just learned about conda-forge: https://t.co/RUow3vVNAH
Automatically create conda-installable builds of your packages! #PyAst…","yann_forget",TRUE,20,0,NA,NA,"2016-03-26 13:21:31","Twitter Web Client"
"714294920777863169","RT @exoplaneteer: The #pyastro16 talk recordings are now available: https://t.co/yEWkRTW2IA","kevin_gullikson",TRUE,14,0,NA,NA,"2016-03-28 03:35:54","Twitter for Android"
"712324242218491904","RT @PeterYoachim: ""Converting coordinates is probably not going to be your bottleneck"" 
Turns out if you try to schedule 2.5 million LSST p…","niais",TRUE,1,0,NA,NA,"2016-03-22 17:05:08","Twitter for Android"
"712724401750298624","RT @brettmor: #PyAstro16 @astrofrog just completely blew my mind demonstrating https://t.co/TJDmRnT3y9","astronomatty",TRUE,1,0,NA,NA,"2016-03-23 19:35:13","Twitter for iPhone"
"715089544283078656","RT @jakevdp: Just learned about conda-forge: https://t.co/RUow3vVNAH
Automatically create conda-installable builds of your packages! #PyAst…","walkingrandomly",TRUE,34,0,NA,NA,"2016-03-30 08:13:27","Twitter Web Client"
"713037763835076609","@abigailStev @GeertHub #PyAstro16 Improvements are coming this afternoon.","brettmor",FALSE,0,1,NA,NA,"2016-03-24 16:20:25","TweetDeck"
"713388775280214017","RT @jakevdp: ""Here's the probabilistic model that describes all of science"" - @exoplaneteer  #PyAstro16 https://t.co/N6IHumaSRU","pacoid",TRUE,13,0,NA,NA,"2016-03-25 15:35:12","Twitter Web Client"
"711956859242962944","RT @astrofrog: First talk of #pyastro16! @AstroBrigi  giving an overview of the @astropy  project – useful links here: https://t.co/8IKcs9g…","shareastronomy",TRUE,4,0,NA,NA,"2016-03-21 16:45:17","Twitter for iPhone"
"713708512979853312","RT @jakevdp: Just learned about conda-forge: https://t.co/RUow3vVNAH
Automatically create conda-installable builds of your packages! #PyAst…","almu_hs",TRUE,20,0,NA,NA,"2016-03-26 12:45:44","Twitter for BlackBerry"
"714286423466188802","RT @exoplaneteer: The #pyastro16 talk recordings are now available: https://t.co/yEWkRTW2IA","BezPublic",TRUE,14,0,NA,NA,"2016-03-28 03:02:08","Tweetbot for iΟS"
"712323909270392832","When rewriting code, typing is not the hard part -- it's figuring out what the code is supposed to do. -@kylebarbary #pyastro16","abigailStev",FALSE,1,0,NA,NA,"2016-03-22 17:03:48","Twitter for Android"
"712724362915254273","RT @IBJIYONGI: .@astrofrog showing us more data set visualization using earthquake as an example #PyAstro16 https://t.co/0wo4Id13yM","stephtdouglas",TRUE,5,0,NA,NA,"2016-03-23 19:35:04","Twitter for Android"
"715089109258280960","RT @abigailStev: More details on the first Code Cafe experience: https://t.co/UobaTZ5LS5 #pyastro16 #lightning @drewleonard","walkingrandomly",TRUE,2,0,NA,NA,"2016-03-30 08:11:44","Twitter Web Client"
"713037458917621760",".@GeertHub made a web app for astroplan to see when an object is visible at your observatory! https://t.co/E9DPcpy19k #pyastro16","abigailStev",FALSE,0,1,NA,NA,"2016-03-24 16:19:12","Twitter Web Client"
"713388607491280897","RT @jakevdp: #PyAstro16 here's the draft idea of reproducibility badges: https://t.co/dtry2EPaN5","pacoid",TRUE,9,0,NA,NA,"2016-03-25 15:34:32","Twitter Web Client"
"711956658033790976","RT @astrokiwi: .@kellecruz: #PyAstro16 CoC - also avoid choice-of-tech hassling/bashing. Productive &amp; respectful disagreement!","shareastronomy",TRUE,2,0,NA,NA,"2016-03-21 16:44:29","Twitter for iPhone"
"713707787700846594","RT @jakevdp: Just learned about conda-forge: https://t.co/RUow3vVNAH
Automatically create conda-installable builds of your packages! #PyAst…","hniemeye",TRUE,20,0,NA,NA,"2016-03-26 12:42:51","Twitter for Android"
"714286166917316608","RT @exoplaneteer: The #pyastro16 talk recordings are now available: https://t.co/yEWkRTW2IA","brettmor",TRUE,14,0,NA,NA,"2016-03-28 03:01:07","Twitter Web Client"
"712323831508013056","""Converting coordinates is probably not going to be your bottleneck"" 
Turns out if you try to schedule 2.5 million LSST pointings.#PyAstro16","PeterYoachim",FALSE,1,5,NA,NA,"2016-03-22 17:03:30","Twitter Web Client"
"712724347429883904",".@eblur27 @stephtdouglas @astrokiwi etc: don't forget to post notes/slides from talk in google doc! https://t.co/hgmZT24LlX #pyastro16","abigailStev",FALSE,0,0,NA,NA,"2016-03-23 19:35:00","Twitter Web Client"
"715077869295284224","RT @_hroe: Wishing was at #PyAstro16 and/or #LPSC2016, instead observing on a night that, let's say, is ""really great for working on the so…","47thLPSC2016",TRUE,1,0,NA,NA,"2016-03-30 07:27:04","Twitter for iPhone"
"713036507125129216","Ready for the #PyAstro16 hack day. Going to sprint on astropy.modeling today. Come and join me!","Tiana_Athriel",FALSE,0,0,NA,NA,"2016-03-24 16:15:25","Twitter Web Client"
"713358867380482048","RT @DVDGC13: Brilliant, now I can ""test"" my notebooks - thanks to nbval @oliverlaslett at #collabw16  - #PyAstro16 check this! https://t.co…","matkuzak",TRUE,7,0,NA,NA,"2016-03-25 13:36:22","Twitter Web Client"
"711956611988717568","RT @astrokiwi: .@kellecruz on #PyAstro16 code of conduct: how do we want to grow the community, make it inclusive &amp; one people will want to…","shareastronomy",TRUE,1,0,NA,NA,"2016-03-21 16:44:18","Twitter for iPhone"
"713703313699635201","RT @astronomatty: And soon, conda's *default* channel will be populated from conda-forge! #PyAstro16  https://t.co/0hi5QuTYUK","tebeka",TRUE,3,0,NA,NA,"2016-03-26 12:25:04","Twitter for Android"
"714275418912612352","RT @exoplaneteer: The #pyastro16 talk recordings are now available: https://t.co/yEWkRTW2IA","brendonbrewer",TRUE,14,0,NA,NA,"2016-03-28 02:18:25","Twitter for Android"
"712323695860064256","RT @keflavich: #pyastro16 the googledoc with links to the talk: https://t.co/TEgeenoJ4w","niais",TRUE,2,0,NA,NA,"2016-03-22 17:02:58","Twitter for Android"
"712724284691447808","#PyAstro16 @astrofrog just completely blew my mind demonstrating https://t.co/TJDmRnT3y9","brettmor",FALSE,1,0,NA,NA,"2016-03-23 19:34:45","TweetDeck"
"714987565120552960","Big thanks to the organizers of #pyastro16, this was a fabulous and very productive meeting in an awesome city and venue.","AstroBrigi",FALSE,1,1,NA,NA,"2016-03-30 01:28:14","TweetDeck"
"713036197761658881","I want to see a sprint where we figure out how to clone ourselves to be able to sprint on more topics at the same time #PyAstro16","AstroBrigi",FALSE,0,1,NA,NA,"2016-03-24 16:14:11","TweetDeck"
"713316806249721856","RT @GeertHub: Meanwhile at #PyAstro16, we have relocated our code sprints to the pizza shop! #pypizza https://t.co/uBKEnWsVwp","davidwhogg",TRUE,1,0,NA,NA,"2016-03-25 10:49:14","Twitter for iPhone"
"711956609094672389","RT @adrianprw: the @astropy project is much wider than the core astropy project -- includes affiliated packages and community #pyastro16","kellecruz",TRUE,3,0,NA,NA,"2016-03-21 16:44:17","Twitter for iPhone"
"713700147717402624","RT @jakevdp: Just learned about conda-forge: https://t.co/RUow3vVNAH
Automatically create conda-installable builds of your packages! #PyAst…","relopezbriega",TRUE,20,0,NA,NA,"2016-03-26 12:12:29","Twitter for Android"
"714247030571335680","#pyastro16 tips and tricks: https://t.co/FQc8rgjd02","abigailStev",FALSE,0,1,NA,NA,"2016-03-28 00:25:36","Twitter for Android"
"712323680513105925","RT @brettmor: My #astroplan #PyAstro16 sprint pitch is available and forkable here: https://t.co/9SdYuyL9dY Check it out!","niais",TRUE,2,0,NA,NA,"2016-03-22 17:02:54","Twitter for Android"
"712724140579356672","RT @IBJIYONGI: .@astrofrog showing us more data set visualization using earthquake as an example #PyAstro16 https://t.co/0wo4Id13yM","eblur27",TRUE,5,0,NA,NA,"2016-03-23 19:34:11","TweetDeck"
"714960879427563520","RT @astrotweeps: If you are interested in finding out more, you can already find recordings for all the #pyastro16 talks on YouTube: https:…","luinily",TRUE,3,0,NA,NA,"2016-03-29 23:42:11","Tweetbot for iΟS"
"713035253766467585","I &lt;3 @GeertHub. #PyAstro16","brettmor",FALSE,0,1,NA,NA,"2016-03-24 16:10:26","TweetDeck"
